Fund Name,Date,NAV
Palisade Ridge Capital,2020-12-31,8500000.0
Palisade Ridge Capital,2021-03-31,9000000.0
Palisade Ridge Capital,2021-06-30,9800000.0
Palisade Ridge Capital,2021-07-15,10800000.0
Palisade Ridge Capital,2021-09-30,11000000.0
Palisade Ridge Capital,2021-12-31,12000000.0
Ironbrook Capital Partners,2020-12-31,50000000.0
Ironbrook Capital Partners,2021-06-30,70000000.0
Ironbrook Capital Partners,2021-12-31,71000000.0
Summitvale Equity Group,2020-12-31,10000000.0
Summitvale Equity Group,2021-03-31,11000000.0
Summitvale Equity Group,2021-06-30,12000000.0
Summitvale Equity Group,2021-07-01,11000000.0
Summitvale Equity Group,2021-09-30,12000000.0
Summitvale Equity Group,2021-12-31,13000000.0
